City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Broome,80,GB,1551493828,93,52.47,1.45,45,6.93
Port Hedland,80,AU,1551492000,52,-20.31,118.58,93.2,13.87
Mahebourg,75,MU,1551493739,83,-20.41,57.7,81,8.05
Sao Lourenco do Sul,0,BR,1551493870,75,-31.37,-51.98,69.31,11.99
Busselton,48,AU,1551493809,30,-33.64,115.35,73.99,7.07
Taltal,12,CL,1551493880,94,-25.41,-70.49,56.98,2.48
Esperance,20,TT,1551493208,78,10.24,-61.45,75.99,6.62
San Quintin,0,PH,1551493880,54,17.54,120.52,82.36,3.6
Kaitangata,0,NZ,1551493880,62,-46.28,169.85,65.71,11.1
Saint-Philippe,1,CA,1551493819,72,45.36,-73.48,19.4,2.24
Nagaur,92,IN,1551493906,38,27.2,73.74,63.55,11.21
Hammerfest,0,NO,1551491400,66,70.66,23.68,12.2,8.05
Alikalia,0,SL,1551493906,48,9.15,-11.39,64.36,3.15
Swan Hill,0,AU,1551493906,64,-35.34,143.56,86.64,9.98
Tuktoyaktuk,5,CA,1551492000,70,69.44,-133.03,-5.81,13.87
Arman,0,RU,1551493908,60,59.7,150.17,9.06,8.19
Limerick,75,IE,1551492000,100,52.66,-8.63,41,3.36
Nurobod,0,UZ,1551492000,65,40.91,69.8,44.6,4.83
Cherskiy,76,RU,1551493909,77,68.75,161.3,-8.09,6.51
Kodiak,75,US,1551493874,42,39.95,-94.76,30.99,4.7
Haines Junction,8,CA,1551493901,78,60.75,-137.51,6.36,1.92
Antsohihy,0,MG,1551493940,90,-14.88,47.99,74.13,7.96
Simbahan,0,PH,1551493940,96,6.3,120.58,81.51,15.68
Tecoanapa,40,MX,1551491460,78,16.99,-99.26,80.6,8.05
Luderitz,0,NA,1551493941,84,-26.65,15.16,61.03,15.68
Airai,64,TL,1551493944,79,-8.93,125.41,78.81,2.26
Oskarshamn,24,SE,1551493805,92,57.26,16.44,34,5.82
Onega,80,RU,1551493948,82,63.91,38.09,18.42,9.08
Saskylakh,12,RU,1551493792,35,71.97,114.09,-23.84,2.93
Saldanha,0,PT,1551493948,86,41.42,-6.55,39.7,6.51
Tiksi,24,RU,1551493948,65,71.64,128.87,-4.4,3.04
Lufilufi,68,WS,1551492783,70,-13.87,-171.6,89.01,8.99
Arraial do Cabo,76,BR,1551493952,100,-22.97,-42.02,72.87,4.83
Sharjah,40,AE,1551492000,39,25.36,55.39,66.2,17.22
Hobart,0,AU,1551493575,12,-42.88,147.33,100.99,17.22
Smithers,90,CA,1551492000,61,54.78,-127.17,17.6,13.87
Ilulissat,24,GL,1551491400,40,69.22,-51.1,35.6,20.8
Santa Rosalia,0,IT,1551493888,82,38.07,13.27,57,18.34
Gamba,0,CN,1551493954,61,28.28,88.52,3.03,6.29
Kidal,0,ML,1551493954,40,18.44,1.41,54.24,12.21
Banjar,32,ID,1551493955,81,-7.37,108.54,82.86,3.04
Simoes,36,BR,1551493955,93,-7.6,-40.82,66.39,2.71
Yumen,0,CN,1551493955,48,40.29,97.04,32.23,5.17
Castro,90,CL,1551492000,81,-42.48,-73.76,53.6,4.7
Codrington,75,AU,1551493834,61,-28.95,153.24,79,12.75
Nefteyugansk,40,RU,1551492000,92,61.09,72.61,14,11.18
Georgiyevskoye,92,RU,1551493956,100,44.16,39.25,34.89,3.15
Shimoda,75,JP,1551493812,40,34.7,138.93,60.01,12.75
Ostrovnoy,48,RU,1551493957,86,68.05,39.51,14.28,11.54
Lebu,20,ET,1551492000,58,8.96,38.73,59,6.93
Honiara,76,SB,1551493957,65,-9.43,159.96,85.47,1.59
Marihatag,64,PH,1551493958,100,8.8,126.3,80.2,10.31
Cabo San Lucas,5,MX,1551493532,56,22.89,-109.91,73,4.7
Nikolskoye,0,RU,1551493834,78,59.7,30.79,21.99,4.47
Klaksvik,92,FO,1551493200,100,62.23,-6.59,44.6,12.75
Touros,40,BR,1551492000,94,-5.2,-35.46,77,4.7
Lagoa,0,PT,1551493949,71,37.14,-8.45,57.2,10.29
Harper,90,US,1551493950,93,30.3,-99.24,62.6,8.05
Huarmey,92,PE,1551493962,75,-10.07,-78.15,70.53,3.15
Verkhoyansk,32,RU,1551493963,73,67.55,133.39,-17.41,3.83
Hobyo,36,SO,1551493930,91,5.35,48.53,75.57,8.19
Baglung,44,NP,1551493963,61,28.27,83.59,46.81,1.92
Nabire,76,ID,1551493964,92,-3.36,135.5,73.63,1.81
Faanui,92,PF,1551493964,100,-16.48,-151.75,80.11,7.4
Vila Franca do Campo,40,PT,1551493934,87,37.72,-25.43,60.8,16.11
Cape Town,0,ZA,1551493565,88,-33.93,18.42,68,2.24
San Jose,0,PH,1551493888,65,15.79,120.99,79.84,2.93
Saint-Augustin,75,FR,1551493843,100,44.83,-0.61,51.8,8.05
Port Elizabeth,90,US,1551493762,93,39.31,-74.98,39,10.29
Olinda,75,EC,1551493949,83,-2.03,-79.75,80.6,6.93
Puerto Ayora,8,EC,1551493966,98,-0.74,-90.35,82,6.62
Coquimbo,0,CL,1551492000,87,-29.95,-71.34,59,5.82
Bozoum,64,CF,1551493967,68,6.31,16.38,72.1,6.17
Paamiut,12,GL,1551493967,84,61.99,-49.67,31.56,6.62
Bredasdorp,64,ZA,1551492911,87,-34.53,20.04,59,3.36
San Cristobal,75,EC,1551493844,87,-0.39,-78.55,57.2,2.24
Payakumbuh,12,ID,1551493967,88,-0.23,100.63,79.98,3.15
Chernyshevskiy,56,RU,1551493968,74,63.01,112.47,14.86,3.38
Moron,64,VE,1551493968,91,10.49,-68.2,65.44,2.59
Madang,20,PG,1551493792,88,-5.21,145.81,83.26,3.27
Amazar,88,RU,1551493969,69,53.86,120.88,25.71,3.38
Samana,56,EC,1551493969,96,0.12,-76.97,71.29,1.92
Zyryanka,64,RU,1551493969,59,65.73,150.89,-2.29,3.6
Qaanaaq,0,GL,1551493795,70,77.48,-69.36,-16.87,5.39
Geraldton,90,CA,1551492000,60,49.72,-86.95,5,3.36
Kushima,75,JP,1551492000,66,31.5,131.29,55.4,10.29
Martapura,40,ID,1551492000,83,-3.41,114.85,82.4,3.36
Zavodskoy,48,RU,1551493971,86,43.1,44.65,26.34,1.92
Hohhot,24,CN,1551492000,37,40.81,111.65,37.4,2.24
Manga,8,BF,1551493972,28,11.67,-1.07,63.55,7.29
Canto do Buriti,12,BR,1551493972,93,-8.11,-42.94,67.83,2.93
Hasaki,20,JP,1551493175,32,35.73,140.83,54,12.75
Sistranda,75,NO,1551493894,93,63.73,8.83,42.01,32.21
Dunedin,0,NZ,1551493895,62,-45.87,170.5,64.99,7
Bluff,36,AU,1551493791,36,-23.58,149.07,88.48,13.11
Boden,88,SE,1551491400,100,65.83,21.69,24.8,6.93
Sabha,68,LY,1551493974,48,27.03,14.43,52.39,7.96
Garcia Hernandez,88,PH,1551493974,86,9.61,124.29,81.28,6.51
Khatanga,0,RU,1551493948,24,71.98,102.47,-17.09,3.38
Sungai Besar,75,MY,1551492000,79,3.68,100.99,84.2,3.36
Torbay,75,CA,1551493959,67,47.66,-52.73,19.99,28.86
Hofn,92,IS,1551493615,100,64.25,-15.21,38.44,29.1
Kalmunai,56,LK,1551493975,100,7.42,81.82,77.05,3.71
Maniwaki,0,CA,1551493975,63,46.38,-75.98,3.43,2.48
Thompson,75,CA,1551492000,69,55.74,-97.86,-9.41,10.29
Namibe,56,AO,1551493976,100,-15.19,12.15,75.57,4.16
Marzuq,0,YE,1551493976,81,14.4,46.47,51.18,2.93
Bethel,90,US,1551492900,100,60.79,-161.76,33.8,4.7
Vestmannaeyjar,92,IS,1551493977,100,63.44,-20.27,38.13,9.98
Gold Coast,90,AU,1551493725,61,-28,153.41,82.99,16.11
Vrede,8,ZA,1551493977,85,-27.43,29.16,46.86,2.71
Phek,0,IN,1551493978,69,25.7,94.46,58.69,2.37
Ponta do Sol,76,BR,1551493797,95,-20.63,-46,66.7,2.71
Vardo,90,US,1551493584,80,39.62,-77.74,34,6.93
Trairi,12,BR,1551493978,100,-3.28,-39.27,78.99,7.4
Mackay,5,CA,1551492000,40,53.65,-115.58,-4.01,5.82
Calatayud,0,ES,1551493871,66,41.35,-1.64,50,3.36
Hamilton,75,BM,1551493965,93,32.3,-64.78,66.2,8.05
Troitskoye,88,RU,1551493990,89,52.98,84.68,27.64,3.15
Buala,92,SB,1551493990,81,-8.15,159.59,84.34,3.71
Beaumont,40,US,1551493807,87,30.09,-94.1,66.2,2.93
Clyde River,1,CA,1551492000,70,70.47,-68.59,-0.41,16.11
Mehamn,68,NO,1551493991,75,71.03,27.85,11.13,4.05
Adelaide,0,AU,1551493701,18,-34.93,138.6,102.99,16.11
Lorengau,48,PG,1551493991,97,-2.02,147.27,83.49,8.41
Pangnirtung,0,CA,1551493920,70,66.15,-65.72,-16.42,2.82
Impfondo,24,CD,1551493992,99,1.62,18.06,66.12,2.37
Brae,68,GB,1551491400,87,60.4,-1.35,44.6,10.29
Puerto Leguizamo,32,CO,1551493995,97,-0.19,-74.78,73.86,2.04
Valdemarpils,75,LV,1551491400,74,57.37,22.59,30.2,9.17
Port Augusta,0,AU,1551493569,13,-32.49,137.76,102.2,16.11
Were Ilu,0,ET,1551493996,91,10.6,39.43,43.03,1.92
Caravelas,36,BR,1551493974,100,-17.73,-39.27,83.58,17.02
Jemnice,90,CZ,1551493990,100,49.02,15.57,42.01,12.75
Ciudad Guayana,24,VE,1551492949,76,8.32,-62.69,77,7
Pevek,76,RU,1551493799,85,69.7,170.27,6.72,4.5
Northam,75,GB,1551493934,93,51.04,-4.21,51.8,5.82
Porto Velho,68,BR,1551493998,99,-8.75,-63.87,72.51,4.5
Banda Aceh,12,ID,1551493998,93,5.56,95.32,81.1,2.59
Ponta Delgada,40,PT,1551493994,87,37.73,-25.67,60.8,16.11
Marawi,44,PH,1551493999,88,8,124.29,73.9,2.82
Ossora,0,RU,1551494000,98,59.24,163.07,3.61,3.15
Kibala,0,TD,1551492000,47,9.11,18.35,78.8,6.93
Fukue,20,JP,1551493827,37,35.03,136.69,60.01,11.41
Vagur,92,FO,1551494001,97,61.47,-6.81,45.78,16.13
Videira,0,BR,1551493853,94,-27.01,-51.15,62.38,6.4
Niquelandia,24,BR,1551494004,94,-14.47,-48.46,70.03,2.71
Padang,40,ID,1551492000,83,-0.92,100.36,80.6,2.24
Leningradskiy,0,RU,1551494011,76,69.38,178.42,20.67,21.83
Provideniya,76,RU,1551494011,97,64.42,-173.23,28.68,22.06
Prince Rupert,20,CA,1551492000,80,54.32,-130.32,41,3.36
Mount Gambier,0,AU,1551490200,13,-37.83,140.78,98.6,21.92
Kayes,0,ML,1551494016,54,14.44,-11.44,54.06,6.17
San Pedro,48,AR,1551493545,79,-33.68,-59.66,72,3
Qaqortoq,48,GL,1551491400,29,60.72,-46.03,39.2,11.41
Ambilobe,0,MG,1551494019,87,-13.19,49.05,74.71,7.4
Kahului,40,US,1551492997,53,20.89,-156.47,75.99,12.75
Mariakani,76,KE,1551494019,90,-3.87,39.47,71.88,2.93
Port Lincoln,64,AU,1551493936,82,-34.72,135.86,72.69,17.02
Oranjemund,0,ZA,1551494020,89,-28.55,16.43,63.06,18.48
Hithadhoo,68,MV,1551494003,100,-0.6,73.08,83.08,9.53
Lagos,20,NG,1551492000,83,6.46,3.39,78.8,2.24
Carlsbad,90,CZ,1551494027,98,50.23,12.87,41,6.93
Arnes,20,ES,1551493869,56,40.91,0.26,55,3
Maniitsoq,0,GL,1551494029,56,65.42,-52.9,24.63,11.1
Sitka,0,US,1551493961,81,37.17,-99.65,30.99,1.99
At-Bashi,0,KG,1551494030,54,41.17,75.81,0.46,1.92
Sao Raimundo das Mangabeiras,92,BR,1551494030,94,-7.02,-45.48,70.26,2.71
Pisco,0,PE,1551492000,78,-13.71,-76.2,73.4,14.99
Kavieng,24,PG,1551494031,100,-2.57,150.8,83.13,4.16
Ust-Kuyga,68,RU,1551494031,76,70,135.55,-12.28,4.27
Payyannur,0,IN,1551494031,97,12.1,75.2,81.91,1.7
Umred,20,IN,1551492000,55,20.85,79.32,62.6,6.4
Taoudenni,0,ML,1551494032,35,22.68,-3.98,45.46,7.74
Balabac,8,PH,1551494032,97,7.99,117.06,81.1,14.12
Helena,90,US,1551493849,64,46.59,-112.04,1.4,13.87
Dawei,0,MM,1551494033,55,14.07,98.19,85.51,2.37
Juneau,20,US,1551493292,51,58.3,-134.42,39.2,8.05
Launceston,0,AU,1551493574,25,-41.43,147.14,88,16.11
Fortuna,0,ES,1551494016,76,38.18,-1.13,57.99,3.36
Portland,20,US,1551493563,60,45.52,-122.67,46.99,14.99
Angoche,64,MZ,1551494034,100,-16.23,39.91,79.93,7.18
Collie,0,AU,1551493809,30,-33.36,116.15,73.99,4.72
Oranjestad,20,AW,1551488400,78,12.52,-70.03,78.8,21.92
Nome,40,US,1551494030,87,30.04,-94.42,63,2.93
Moose Jaw,20,CA,1551493209,76,50.4,-105.54,-7.01,13.87
Zaysan,12,KZ,1551494036,68,47.47,84.87,24.99,2.04
Gijon,68,ES,1551493947,87,43.54,-5.66,51.01,3.36
Leiyang,92,CN,1551494036,100,26.42,112.85,50.46,5.95
Katsuura,40,JP,1551493484,53,33.93,134.5,51.8,9.17
Jieshi,92,CN,1551494036,97,22.82,115.83,66.61,13.44
Nioro,0,GM,1551494037,36,13.79,-15.05,61.71,9.64
Caohe,44,CN,1551493999,78,32.93,105.08,48,2.26
Souillac,92,FR,1551493990,93,45.6,-0.6,48.99,11.41
Leshukonskoye,20,RU,1551494038,64,64.9,45.76,-0.49,2.48
Severo-Kurilsk,64,RU,1551493857,100,50.68,156.12,25.3,8.41
Alofi,76,NU,1551492000,74,-19.06,-169.92,86,11.41
Manokwari,8,ID,1551494038,98,-0.87,134.08,81.73,5.28
Los Llanos de Aridane,64,ES,1551493887,72,28.66,-17.92,64.4,12.75
Husavik,32,CA,1551493805,75,50.56,-96.99,-1,7.4
Poum,48,MK,1551494039,83,41.28,20.71,26.11,2.48
Sinnamary,92,GF,1551494039,91,5.38,-52.96,79.89,12.88
Nanortalik,44,GL,1551494040,91,60.14,-45.24,32.14,23.51
East London,64,ZA,1551493591,100,-33.02,27.91,71.29,6.29
Limbang,75,BN,1551492000,70,4.75,115.01,86,4.7
Beringovskiy,8,RU,1551494044,87,63.05,179.32,25.03,14.79
Along,0,IN,1551494044,64,28.17,94.8,52.62,1.92
North Platte,1,US,1551493789,79,41.12,-100.77,21.2,3.36
Tautira,40,PF,1551493983,70,-17.73,-149.15,86,13.87
Chuy,0,UY,1551493796,70,-33.69,-53.46,71.88,13.33
Kudat,75,MY,1551492000,70,6.89,116.84,84.2,8.05
Meulaboh,32,ID,1551494045,100,4.14,96.13,82.54,2.93
Hervey Bay,75,AU,1551493812,54,-25.3,152.85,86,19.46
Tambovka,48,UA,1551494068,75,46.93,35.45,31.29,11.65
Lebanon,1,US,1551493852,67,43.64,-72.25,25,2.15
Grindavik,90,IS,1551493455,100,63.84,-22.43,39,4.7
Verkhniy Uslon,90,RU,1551492000,92,55.77,48.98,24.8,13.42
Cidreira,0,BR,1551493965,89,-30.17,-50.22,71.56,13
Marsh Harbour,8,BS,1551493946,100,26.54,-77.06,74.08,7.52
Mbale,32,UG,1551494073,82,1.07,34.17,56.44,3.38
Half Moon Bay,90,US,1551493991,81,37.46,-122.43,57,3.83
Haveri,0,IN,1551494073,73,14.79,75.4,69.54,8.19
Nara,0,JP,1551494022,50,34.68,135.8,53.01,2.24
Sao Felix do Xingu,48,BR,1551493939,99,-6.64,-51.99,71.83,1.7
Raudeberg,92,NO,1551493808,74,61.99,5.14,37.99,13.87
Ngunguru,0,NZ,1551493986,69,-35.62,174.5,69.01,8.99
Khuzdar,56,PK,1551493826,90,27.8,66.62,45.1,14.12
Develi,75,TR,1551491400,80,38.39,35.49,30.2,2.93
Astoria,90,US,1551494013,65,46.19,-123.83,48.99,6.93
Moussoro,36,TD,1551494076,32,13.64,16.49,72.33,8.63
Alexandria,90,US,1551493868,100,31.31,-92.44,57.99,2.82
Saint-Paul,90,FR,1551493869,86,45.22,1.9,44.01,2.71
Maragogi,36,BR,1551494077,98,-9.01,-35.22,74.94,2.93
Chokurdakh,76,RU,1551493998,79,70.62,147.9,-12.73,10.76
Ostrow Mazowiecka,0,PL,1551494068,52,52.8,21.9,30,3.04
Axim,12,GH,1551493931,100,4.87,-2.24,81.55,7.63
Bure,68,NG,1551494084,62,10.52,10.33,72.28,4.16
Warman,20,CA,1551493965,69,52.32,-106.58,-9.01,12.75
Mahibadhoo,8,MV,1551494084,100,3.78,72.97,81.42,10.98
Ushibuka,80,JP,1551494085,90,32.19,130.02,54.24,3.6
Waingapu,8,ID,1551494085,82,-9.65,120.26,85.74,4.27
Madingou,88,CG,1551494085,97,-4.17,13.56,69.09,2.26
Avarua,76,CK,1551490200,79,-21.21,-159.78,84.2,8.05
Vao,56,EE,1551494014,83,59.1,26.19,15.81,9.53
Hay River,40,CA,1551492000,68,60.82,-115.79,-18.41,2.59
Manzil Salim,0,TN,1551492000,86,35.86,8.48,33.8,4.7
Dingle,0,PH,1551494000,62,11,122.67,83.58,11.77
Vista Hermosa,40,MX,1551490800,83,14.92,-92.27,78.8,2.04
Behshahr,40,IR,1551492000,100,36.69,53.54,44.6,2.37
Livny,88,RU,1551494087,93,52.43,37.61,28.68,8.3
Cananea,20,MX,1551493945,30,30.98,-110.3,62.01,9.17
Keti Bandar,76,PK,1551494088,92,24.14,67.45,73.63,16.24
Nong Phai,64,TH,1551494088,85,16,101.06,78.49,4.05
Salekhard,48,RU,1551494088,55,66.54,66.62,-11.69,3.71
Altagracia de Orituco,0,VE,1551494089,57,9.86,-66.38,74.13,14.23
Tabuk,0,PH,1551493794,45,17.41,121.44,77.95,2.37
San Patricio,0,PY,1551493974,77,-26.98,-56.83,62.74,2.37
Hedaru,12,TZ,1551494089,93,-4.5,37.91,64.9,2.59
Kalispell,90,US,1551493993,71,48.2,-114.32,14,29.97
Suntar,76,RU,1551494090,76,62.16,117.65,16.03,3.71
Pareora,0,NZ,1551493415,70,-44.49,171.21,64.99,4
Safonovo,8,RU,1551494090,81,55.11,33.24,12.66,11.77
Calvia,20,ES,1551493854,100,39.57,2.51,57.99,3.36
Puerto Carreno,0,CO,1551488400,49,6.19,-67.49,89.6,2.59
Kattivakkam,20,IN,1551494034,83,13.22,80.32,82.99,3.36
Chake Chake,8,TZ,1551494091,100,-5.25,39.77,80.83,1.59
Balkhash,0,KZ,1551494091,79,46.84,74.98,27.64,9.64
Kolobrzeg,68,PL,1551493978,87,54.18,15.58,25,9.98
Ostersund,12,SE,1551493296,67,63.18,14.64,32,12.75
Kieta,36,PG,1551494092,100,-6.22,155.63,79.98,4.05
De Land,90,US,1551494091,69,40.12,-88.65,35.6,4.7
Karratha,80,AU,1551493856,36,-20.74,116.85,95.91,10.31
Salinopolis,92,BR,1551494031,100,-0.61,-47.36,78.4,8.97
Sindor,56,RU,1551494093,63,62.87,51.9,3.03,3.6
Manyana,75,AU,1551493931,65,-35.26,150.51,80.01,9.17
Bucerias,5,MX,1551493827,78,20.76,-105.33,75.2,6.93
Shushenskoye,20,RU,1551492000,85,53.33,91.95,24.8,2.24
Aklavik,5,CA,1551492000,54,68.22,-135.01,-0.41,8.05
Carnarvon,0,ZA,1551493962,76,-30.97,22.13,49.56,2.93
Bud,92,NO,1551493907,69,62.91,6.91,39.2,20.8
Jumla,88,NP,1551494095,45,29.28,82.18,23.41,1.92
Martinsicuro,92,IT,1551494092,87,42.89,13.92,53.6,10.29
Umm Kaddadah,0,SD,1551494096,16,13.6,26.69,60.81,9.75
Umm Lajj,0,SA,1551494096,100,25.02,37.27,53.34,5.95
Sfantu Gheorghe,0,RO,1551494050,64,44.65,26.83,43,1.12
Kyren,0,RU,1551494097,60,51.68,102.13,20.49,2.59
Cockburn Town,0,TC,1551493963,97,21.46,-71.14,77.73,17.69
Hare Bay,20,CA,1551493970,66,48.86,-53.99,16,14.99
Te Anau,0,NZ,1551494097,37,-45.41,167.72,69.49,3.27
Mesopotamia,48,GR,1551494098,100,40.51,21.16,27.78,1.92
Gravdal,44,NO,1551494094,100,59.79,5.78,37,8.05
Christchurch,0,NZ,1551494060,49,-43.53,172.64,70,6.93
Jabinyanah,0,TN,1551492000,53,35.03,10.91,50,4.7
Kiunga,88,PG,1551494102,92,-6.12,141.3,79.21,2.71
Kalakamati,0,BW,1551494103,74,-20.59,27.31,68.73,13.22
Mishkino,75,RU,1551492000,92,56.22,46.62,19.4,13.42
Saint-Leu,0,RE,1551493995,74,-21.15,55.28,80.6,5.82
Kungurtug,24,RU,1551493962,60,50.6,97.53,17.88,3.6
Trincomalee,44,LK,1551494107,79,8.58,81.23,82.09,8.75
Luang Prabang,40,LA,1551492000,78,19.89,102.14,73.4,2.37
Mananjary,8,MG,1551494107,87,-19.16,46.8,56.04,3.27
Sakhipur,0,BD,1551492000,63,24.3,90.18,66.2,3.36
Hirara,40,JP,1551492000,78,24.8,125.28,78.8,13.87
Kankon,8,IN,1551494108,100,15.02,74.02,78.99,8.41
Doctor Arroyo,0,MX,1551494108,65,23.67,-100.18,59.5,4.72
Victoria,75,BN,1551492000,66,5.28,115.24,86,4.7
Timbuktu,0,ML,1551494109,45,16.77,-3.01,55.32,11.21
Saint George,40,GR,1551494008,75,39.45,22.34,48.99,3.83
Sinnai,40,IT,1551493808,87,39.3,9.2,55.99,11.41
Abu Dhabi,40,AE,1551492000,45,24.47,54.37,64.4,18.34
Verkhovazhye,36,RU,1551494115,72,60.75,42.05,10,5.95
Cap Malheureux,75,MU,1551494040,83,-19.98,57.61,81,8.05
Hovd,75,NO,1551493984,80,63.83,10.7,42.01,14.99
Kurri Kurri,40,AU,1551493759,51,-32.82,151.48,80.6,19.46
Orangeburg,90,US,1551494117,87,33.49,-80.86,62.6,6.93
Fort Nelson,5,CA,1551492000,49,58.81,-122.69,-2.21,4.7
Panzhihua,0,CN,1551494021,44,26.59,101.72,61,4.05
Port Keats,24,AU,1551494123,94,-14.25,129.55,87.63,6.4
Luwuk,48,ID,1551494123,74,-0.95,122.79,86.23,1.36
Maumere,24,ID,1551494123,100,-8.63,122.22,84.25,2.93
Kudahuvadhoo,20,MV,1551494124,100,2.67,72.89,81.46,11.21
Gazojak,68,TM,1551494124,94,41.19,61.4,42.49,14.79
Alyangula,40,AU,1551492000,74,-13.85,136.42,87.8,9.17
Peniche,75,PT,1551493868,100,39.36,-9.38,55.99,5.82
Ketchikan,1,US,1551491760,98,55.34,-131.65,42.8,5.82
Maturin,0,VE,1551494135,58,9.75,-63.18,78.4,8.63
San Diego de los Banos,8,CU,1551494138,75,22.65,-83.37,73.14,6.51
Zaraza,0,VE,1551494138,65,9.35,-65.33,76.51,11.77
Badou,56,TG,1551494147,91,7.58,0.61,71.61,3.38
Santa Barbara,90,US,1551494125,87,34.42,-119.7,59,3.36
Flinders,75,AU,1551493931,65,-34.58,150.85,84,9.17
Batemans Bay,36,AU,1551493911,83,-35.71,150.18,84.99,11.01
Conceicao da Barra,0,BR,1551494148,88,-18.59,-39.73,82.77,13.78
Batticaloa,36,LK,1551494148,98,7.71,81.69,81.24,8.19
Champerico,20,MX,1551491340,65,16.38,-93.6,78.8,9.17
Kailua,1,US,1551493883,83,21.39,-157.74,77,13.87
Troitsko-Pechorsk,44,RU,1551494149,58,62.71,56.19,-7.06,2.82
Sangar,0,RU,1551494149,49,63.92,127.47,-9.49,2.48
Port Hardy,20,CA,1551492000,65,50.7,-127.42,41,2.24
Tucuman,0,PE,1551494150,88,-17.17,-70.89,58.24,1.48
Sioux Lookout,40,CA,1551492000,84,50.1,-91.92,6.8,4.7
Sabang,48,PH,1551494150,82,13.72,123.58,79.84,7.74
Cotonou,20,BJ,1551492000,94,6.37,2.43,77,2.24
Tabas,0,IR,1551494151,68,33.6,56.92,39.66,4.5
